年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2020,网络系统,NIC,A Simpler and Faster NIC Driver Model for Network Functions,"Solal Pirelli,  EPFL",https://www.usenix.org/conference/osdi20/presentation/pirelli,https://github.com/dslab-epfl/tinynf
2020,网络系统,"智能网卡,QoS",PANIC: A High-Performance Programmable NIC for Multi-tenant Networks,"Jiaxin Lin, University of Wisconsin-Madison; et al.",https://www.usenix.org/conference/osdi20/presentation/lin,https://bitbucket.org/uw-madison-networking-research/panic_osdi20_artifact/src/master/
2020,文件和存储系统,"索引结构,机器学习,数据库索引",From WiscKey to Bourbon: A Learned Index for Log-Structured Merge Trees,"Yifan Dai, University of Wisconsin - Madison; et al.",https://www.usenix.org/conference/osdi20/presentation/dai,https://bitbucket.org/daiyifandanny/learned-leveldb/src/master/
2020,文件和存储系统,"加速器,数据库分析",Cobra: Making Transactional Key-Value Stores Verifiably Serializable,"Cheng Tan, NYU; et al.",https://www.usenix.org/conference/osdi20/presentation/tan,https://github.com/DBCobra/CobraHome/tree/OSDI20-AE
2020,文件和存储系统,"故障诊断,符号执行,NVRAM",AGAMOTTO: How Persistent is your Persistent Memory Application?,"Ian Neal, University of Michigan; et al.",https://www.usenix.org/conference/osdi20/presentation/neal,https://github.com/efeslab/agamotto/tree/artifact-eval-osdi20/artifact
2020,文件和存储系统,"SSD,机器学习,性能调优",LinnOS: Predictability on Unpredictable Flash Storage with a Light Neural Network,"Mingzhe Hao, University of Chicago; et al.",https://www.usenix.org/conference/osdi20/presentation/hao,https://www.chameleoncloud.org/experiment/share/15?s=409ab137f20e4cd38ae3dd4e0d4bfa7c
2020,文件和存储系统,"文件系统,软硬件协同,崩溃一致性",CrossFS: A Cross-layered Direct-Access File System,"Yujie Ren, Rutgers University; et al.",https://www.usenix.org/conference/osdi20/presentation/ren,https://gitlab.com/yj_ren/aecross
2020,文件和存储系统,"分布式文件系统,NVRAM",Assise: Performance and Availability via Client-local NVM in a Distributed File System,"Thomas E. Anderson, University of Washington; et al.",https://www.usenix.org/conference/osdi20/presentation/anderson,https://bitbucket.org/mlfs/assise-artifact
2020,文件和存储系统,"RDMA,Far-memory","AIFM: High-Performance, Application-Integrated Far Memory","Zhenyuan Ruan, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/ruan,https://github.com/zainryan/AIFM-AE
2020,文件和存储系统,"分离式内存,JVM",Semeru: A Memory-Disaggregated Managed Runtime,"Chenxi Wang, UCLA; et al.",https://www.usenix.org/conference/osdi20/presentation/wang,https://github.com/uclasystem/Semeru
